,file_name,set_name,loss,My Dice
0,Radiographs\330.JPG,test,0.5018585,0.49814156
1,Radiographs\798.JPG,test,0.057822824,0.9421772
2,Radiographs\888.JPG,test,0.10433102,0.895669
3,Radiographs\99.JPG,test,0.049245775,0.9507542
4,Radiographs\1035.JPG,test,0.048321605,0.9516784
5,Radiographs\247.JPG,test,0.05825889,0.9417411
6,Radiographs\602.JPG,test,0.053973675,0.9460263
7,Radiographs\34.JPG,test,0.054263413,0.9457366
8,Radiographs\780.JPG,test,0.0654155,0.9345845
9,Radiographs\487.JPG,test,0.505471,0.49452898
10,Radiographs\449.JPG,test,0.058381557,0.94161844
11,Radiographs\237.JPG,test,0.052538455,0.94746155
12,Radiographs\749.JPG,test,0.096006036,0.90399396
13,Radiographs\230.JPG,test,0.078733146,0.92126685
14,Radiographs\570.JPG,test,0.059779286,0.9402207
15,Radiographs\585.JPG,test,0.119965255,0.88003474
16,Radiographs\876.JPG,test,0.049006104,0.9509939
17,Radiographs\518.JPG,test,0.055113733,0.94488627
18,Radiographs\783.JPG,test,0.059432626,0.9405674
19,Radiographs\490.JPG,test,0.049930096,0.9500699
20,Radiographs\549.JPG,test,0.06476486,0.93523514
21,Radiographs\330.JPG,test,0.5018585,0.49814156
22,Radiographs\604.JPG,test,0.061207175,0.9387928
23,Radiographs\447.JPG,test,0.07223487,0.92776513
24,Radiographs\116.JPG,test,0.04953271,0.9504673
25,Radiographs\301.JPG,test,0.04718685,0.95281315
26,Radiographs\659.JPG,test,0.06946671,0.9305333
27,Radiographs\367.JPG,test,0.07219219,0.9278078
28,Radiographs\283.JPG,test,0.500573,0.49942702
29,Radiographs\576.JPG,test,0.09130633,0.9086937
30,Radiographs\386.JPG,test,0.062134385,0.9378656
31,Radiographs\17.JPG,test,0.06463218,0.9353678
32,Radiographs\1030.JPG,test,0.052311182,0.9476888
33,Radiographs\672.JPG,test,0.069208026,0.930792
34,Radiographs\526.JPG,test,0.50061107,0.49938896
35,Radiographs\543.JPG,test,0.0551247,0.9448753
36,Radiographs\948.JPG,test,0.045726717,0.9542733
37,Radiographs\1044.JPG,test,0.05459732,0.9454027
38,Radiographs\174.JPG,test,0.050212026,0.949788
39,Radiographs\429.JPG,test,0.06849581,0.9315042
40,Radiographs\841.JPG,test,0.059269607,0.9407304
41,Radiographs\63.JPG,test,0.09828746,0.90171254
42,Radiographs\840.JPG,test,0.08926231,0.9107377
43,Radiographs\732.JPG,test,0.05216992,0.9478301
44,Radiographs\914.JPG,test,0.052830815,0.9471692
45,Radiographs\503.JPG,test,0.50056535,0.49943465
46,Radiographs\378.JPG,test,0.060813487,0.9391865
47,Radiographs\509.JPG,test,0.054829717,0.9451703
48,Radiographs\309.JPG,test,0.07078922,0.9292108
49,Radiographs\245.JPG,test,0.081680775,0.9183192
50,Radiographs\50.JPG,test,0.064003825,0.9359962
51,Radiographs\768.JPG,test,0.13213062,0.8678694
52,Radiographs\4.JPG,test,0.058554053,0.94144595
53,Radiographs\170.JPG,test,0.06489849,0.9351015
54,Radiographs\741.JPG,test,0.09639406,0.90360594
55,Radiographs\625.JPG,test,0.052800536,0.94719946
56,Radiographs\899.JPG,test,0.05348003,0.94652
57,Radiographs\997.JPG,test,0.04467106,0.95532894
58,Radiographs\8.JPG,test,0.0864349,0.9135651
59,Radiographs\828.JPG,test,0.05107701,0.948923
60,Radiographs\374.JPG,test,0.061580062,0.93841994
61,Radiographs\372.JPG,test,0.04405278,0.9559472
62,Radiographs\156.JPG,test,0.06354034,0.93645966
63,Radiographs\251.JPG,test,0.09873146,0.90126854
64,Radiographs\266.JPG,test,0.056324065,0.94367594
65,Radiographs\892.JPG,test,0.08839893,0.91160107
66,Radiographs\632.JPG,test,0.05334592,0.9466541
67,Radiographs\906.JPG,test,0.06509346,0.93490654
68,Radiographs\464.JPG,test,0.087519884,0.9124801
69,Radiographs\847.JPG,test,0.13435364,0.86564636
70,Radiographs\943.JPG,test,0.06449175,0.93550825
71,Radiographs\408.JPG,test,0.095397115,0.9046029
72,Radiographs\615.JPG,test,0.06442547,0.93557453
