,file_name,set_name,loss,dice,My Dice
0,Radiographs\419.JPG,test,0.049888253,0.9776077,1.0
1,Radiographs\798.JPG,test,0.059975147,0.9727936,1.0
2,Radiographs\888.JPG,test,0.033583224,0.99089813,1.0
3,Radiographs\99.JPG,test,0.05854231,0.97356415,1.0
4,Radiographs\1035.JPG,test,0.06318843,0.9680023,1.0
5,Radiographs\247.JPG,test,0.06965679,0.9700012,1.0
6,Radiographs\602.JPG,test,0.0539037,0.97711945,1.0
7,Radiographs\34.JPG,test,0.055200756,0.9770889,1.0
8,Radiographs\780.JPG,test,0.08062732,0.9630661,1.0
9,Radiographs\487.JPG,test,0.12710112,0.9669266,1.0
10,Radiographs\449.JPG,test,0.06520158,0.9727249,1.0
11,Radiographs\237.JPG,test,0.060278952,0.9720154,1.0
12,Radiographs\749.JPG,test,0.031935096,0.9913025,1.0
13,Radiographs\230.JPG,test,0.045200586,0.9861145,1.0
14,Radiographs\570.JPG,test,0.06529027,0.9722061,1.0
15,Radiographs\585.JPG,test,0.06473255,0.97963715,1.0
16,Radiographs\876.JPG,test,0.04447913,0.9829788,1.0
17,Radiographs\518.JPG,test,0.04457283,0.9822769,1.0
18,Radiographs\783.JPG,test,0.06719601,0.96881866,1.0
19,Radiographs\490.JPG,test,0.05621779,0.9760361,1.0
20,Radiographs\549.JPG,test,0.071005166,0.9684677,1.0
21,Radiographs\330.JPG,test,0.016451597,0.9960861,nan
22,Radiographs\604.JPG,test,0.054757476,0.97711945,1.0
23,Radiographs\447.JPG,test,0.06769538,0.97470856,1.0
24,Radiographs\116.JPG,test,0.048148513,0.98130035,1.0
25,Radiographs\301.JPG,test,0.04399234,0.9804611,1.0
26,Radiographs\659.JPG,test,0.07931203,0.9664459,1.0
27,Radiographs\367.JPG,test,0.07132262,0.96969604,1.0
28,Radiographs\283.JPG,test,0.0,1.0,nan
29,Radiographs\576.JPG,test,0.06572503,0.97901917,1.0
30,Radiographs\386.JPG,test,0.049116433,0.98187256,1.0
31,Radiographs\17.JPG,test,0.06659722,0.9729233,1.0
32,Radiographs\1030.JPG,test,0.06365651,0.9701538,1.0
33,Radiographs\672.JPG,test,0.057018995,0.97940826,1.0
34,Radiographs\526.JPG,test,0.0,1.0,nan
35,Radiographs\543.JPG,test,0.04882592,0.980278,1.0
36,Radiographs\948.JPG,test,0.05173087,0.97621155,1.0
37,Radiographs\1044.JPG,test,0.06726694,0.96875,1.0
38,Radiographs\174.JPG,test,0.050390244,0.97785187,1.0
39,Radiographs\429.JPG,test,0.06492132,0.9726944,1.0
40,Radiographs\841.JPG,test,0.072658,0.96817017,1.0
41,Radiographs\63.JPG,test,0.07387364,0.97525024,1.0
