,file_name,set_name,loss,dice,My Dice
0,Radiographs\419.JPG,test,0.04926312,0.9778061,0.9541637
1,Radiographs\798.JPG,test,0.058920383,0.97317505,0.9455984
2,Radiographs\888.JPG,test,0.032735765,0.99111176,0.9048356
3,Radiographs\99.JPG,test,0.05621469,0.9745178,0.9479332
4,Radiographs\1035.JPG,test,0.06017077,0.9694061,0.9479014
5,Radiographs\247.JPG,test,0.06652427,0.97122955,0.93603444
6,Radiographs\602.JPG,test,0.05261576,0.9776001,0.94869554
7,Radiographs\34.JPG,test,0.05302149,0.9779129,0.94722235
8,Radiographs\780.JPG,test,0.077468276,0.9643707,0.9289832
9,Radiographs\487.JPG,test,0.12710112,0.9669266,0.49159262
10,Radiographs\449.JPG,test,0.06277305,0.97364044,0.9379999
11,Radiographs\237.JPG,test,0.058159173,0.9729004,0.9471513
12,Radiographs\749.JPG,test,0.030932307,0.9915619,0.9126289
13,Radiographs\230.JPG,test,0.043942392,0.9864731,0.9254893
14,Radiographs\570.JPG,test,0.06306708,0.97306824,0.9386757
15,Radiographs\585.JPG,test,0.06549251,0.9793396,0.8964319
16,Radiographs\876.JPG,test,0.042625666,0.9836426,0.9534275
17,Radiographs\518.JPG,test,0.044158995,0.9823837,0.9539803
18,Radiographs\783.JPG,test,0.06539625,0.96954346,0.94055533
19,Radiographs\490.JPG,test,0.0539971,0.9769058,0.94756806
20,Radiographs\549.JPG,test,0.06943703,0.9690628,0.9348443
21,Radiographs\330.JPG,test,0.01727432,0.99588776,0.49896982
22,Radiographs\604.JPG,test,0.054394066,0.97719574,0.9461923
23,Radiographs\447.JPG,test,0.06573886,0.97535706,0.92586005
24,Radiographs\116.JPG,test,0.04660797,0.9818497,0.95001674
25,Radiographs\301.JPG,test,0.043395698,0.9806671,0.9592771
26,Radiographs\659.JPG,test,0.07677281,0.96738434,0.92499614
27,Radiographs\367.JPG,test,0.07009554,0.9701233,0.93172467
28,Radiographs\283.JPG,test,0.0,1.0,nan
29,Radiographs\576.JPG,test,0.063608885,0.97963715,0.9031987
30,Radiographs\386.JPG,test,0.048401296,0.98207855,0.94443583
31,Radiographs\17.JPG,test,0.06461799,0.97364044,0.9342892
32,Radiographs\1030.JPG,test,0.061003387,0.9712906,0.94492203
33,Radiographs\672.JPG,test,0.05563718,0.97985077,0.9339297
34,Radiographs\526.JPG,test,0.0,1.0,nan
35,Radiographs\543.JPG,test,0.04823178,0.9804611,0.95058656
36,Radiographs\948.JPG,test,0.05000192,0.9769211,0.9542742
37,Radiographs\1044.JPG,test,0.06458634,0.96987915,0.9413446
38,Radiographs\174.JPG,test,0.049639344,0.97811127,0.95303774
39,Radiographs\429.JPG,test,0.06425583,0.9728775,0.93684685
40,Radiographs\841.JPG,test,0.07004708,0.9692154,0.9335506
41,Radiographs\63.JPG,test,0.07297182,0.9754791,0.9006745
42,Radiographs\840.JPG,test,0.0653761,0.97714233,0.91760385
43,Radiographs\732.JPG,test,0.052201986,0.9775696,0.94952035
44,Radiographs\914.JPG,test,0.058100045,0.97364044,0.9462207
45,Radiographs\503.JPG,test,0.0,1.0,nan
46,Radiographs\378.JPG,test,0.07335472,0.9660721,0.93301284
47,Radiographs\509.JPG,test,0.056262136,0.9767761,0.9434829
48,Radiographs\309.JPG,test,0.064171195,0.97418976,0.9337379
49,Radiographs\245.JPG,test,0.07405794,0.9722061,0.9166148
50,Radiographs\50.JPG,test,0.08331096,0.9595642,0.9261497
51,Radiographs\768.JPG,test,0.06443912,0.9811554,0.86980045
52,Radiographs\4.JPG,test,0.06783968,0.9701233,0.93575346
53,Radiographs\170.JPG,test,0.056180716,0.97753906,0.94159675
54,Radiographs\741.JPG,test,0.08381212,0.96832275,0.90655005
55,Radiographs\625.JPG,test,0.053879857,0.97561646,0.95003533
56,Radiographs\899.JPG,test,0.06914246,0.9645462,0.94035804
57,Radiographs\997.JPG,test,0.050402403,0.97683716,0.9537699
58,Radiographs\8.JPG,test,0.09040499,0.9580536,0.91761816
59,Radiographs\828.JPG,test,0.04779625,0.9795456,0.9536142
60,Radiographs\374.JPG,test,0.070307255,0.968483,0.934337
61,Radiographs\372.JPG,test,0.045894325,0.9805374,0.9550892
62,Radiographs\156.JPG,test,0.0525409,0.9799576,0.9421426
63,Radiographs\251.JPG,test,0.09864545,0.962204,0.89200234
64,Radiographs\266.JPG,test,0.053049743,0.9778671,0.9472742
65,Radiographs\892.JPG,test,0.038438678,0.9887619,0.9222561
66,Radiographs\632.JPG,test,0.06388426,0.96790314,0.9443768
67,Radiographs\906.JPG,test,0.058568597,0.97533417,0.942313
68,Radiographs\464.JPG,test,0.08096975,0.96269226,0.9258667
69,Radiographs\847.JPG,test,0.119674444,0.9542389,0.86863315
70,Radiographs\943.JPG,test,0.08018476,0.96495056,0.92359287
71,Radiographs\408.JPG,test,0.07826233,0.97042084,0.91273636
72,Radiographs\615.JPG,test,0.06553924,0.9744797,0.9297068
73,Radiographs\416.JPG,test,0.03911251,0.98607635,0.95222926
74,Radiographs\473.JPG,test,0.057934165,0.9767227,0.94010866
75,Radiographs\510.JPG,test,0.058181107,0.97566986,0.94230473
76,Radiographs\426.JPG,test,0.07026249,0.9688873,0.9337493
77,Radiographs\1034.JPG,test,0.06617266,0.9676361,0.941588
78,Radiographs\896.JPG,test,0.050640404,0.98005676,0.94642735
79,Radiographs\364.JPG,test,0.06731373,0.97439575,0.925591
80,Radiographs\555.JPG,test,0.05369526,0.9759598,0.9498038
81,Radiographs\243.JPG,test,0.045490086,0.98488617,0.93656456
82,Radiographs\269.JPG,test,0.049332857,0.9789047,0.9520889
83,Radiographs\305.JPG,test,0.059661746,0.9764099,0.937181
